timestamp,action,username,details
2026-06-06T15:34:34.821702600,LOGIN,admin,
2026-06-06T15:34:45.981598700,JOIN_ROOM,admin,"roomId=1, roomName=General"
2026-06-06T15:34:52.569634900,SEND_MESSAGE,admin,"roomId=1, messageId=1"
2026-06-06T15:35:29.519652200,SEND_MESSAGE,admin,"roomId=1, messageId=2"
2026-06-06T16:19:35.499084700,LOGIN,ana,
2026-06-06T16:21:41.188139800,LOGIN,admin,
2026-06-06T16:21:53.442362900,JOIN_ROOM,admin,"roomId=1, roomName=General"
2026-06-06T16:22:07.986356200,JOIN_ROOM,ana,"roomId=1, roomName=General"
2026-06-06T16:22:15.079972200,SEND_MESSAGE,ana,"roomId=1, messageId=3"
2026-06-06T16:33:46.821189100,LOGIN,ana,
2026-06-06T16:33:56.120255100,JOIN_ROOM,ana,"roomId=1, roomName=General"
2026-06-06T16:34:06.827793700,LOGIN,admin,
2026-06-06T16:36:09.033806200,JOIN_ROOM,admin,"roomId=1, roomName=General"
2026-06-06T16:36:13.774606200,SEND_MESSAGE,admin,"roomId=1, messageId=4"
2026-06-06T16:42:53.586327400,LOGOUT,ana,
2026-06-06T16:42:56.413016300,LOGOUT,admin,
2026-06-06T17:18:09.900037800,CREATE_ACCOUNT,andrei,
2026-06-06T17:18:16.422532300,LOGIN,andrei,
2026-06-06T17:18:27.878320800,LOGIN,admin,
2026-06-06T17:18:38.523049700,JOIN_ROOM,admin,"roomId=1, roomName=General"
2026-06-06T17:18:46.165938300,JOIN_ROOM,andrei,"roomId=1, roomName=General"
2026-06-06T17:20:36.953287600,SEND_MESSAGE,admin,"roomId=1, messageId=5"
2026-06-06T17:22:22.312615900,SEND_FILE,andrei,"roomId=1, transferId=1, fileName=Screenshot 2026-06-03 204142.png"
2026-06-06T17:23:50.018137600,DOWNLOAD_FILE,admin,"transferId=1, destination=C:\Users\visan\Pictures\Screenshots\Screenshot 2026-06-03 204142.png"
2026-06-06T17:24:13.694028700,BAN_USER,admin,target=ana
